Airline,Source,Destination,Total_Stops,Price,Duration(minute),Month_of_Journey,Day_of_Journey,Season,Time_of_Day,Flight_Duration_Category,Dep_Hour,Arr_Hour,Dep_Minute,Arr_Minute
3,0,5,0,3897.0,170,3,24,0,3,2,22,1,20,10
1,3,0,2,7662.0,445,5,1,0,3,1,5,13,50,15
4,2,1,2,13882.0,1140,6,9,1,2,0,9,4,25,25
3,3,0,1,6218.0,325,5,12,0,1,1,18,23,5,30
3,0,5,1,13302.0,285,3,1,0,0,2,16,21,50,35
8,3,0,0,3873.0,145,6,24,1,2,2,9,11,0,25
4,0,5,1,11087.0,930,3,12,0,1,0,18,10,55,25
4,0,5,1,22270.0,1265,3,1,0,2,0,8,5,0,5
4,0,5,1,11087.0,1530,3,12,0,2,0,8,10,55,25
6,2,1,1,8625.0,470,5,27,0,2,1,11,19,25,15
1,2,1,1,8907.0,795,6,1,1,2,0,9,23,45,0
3,3,0,0,4174.0,155,4,18,0,1,2,20,22,20,55
1,1,4,0,4667.0,135,6,24,1,2,2,11,13,40,55
4,3,0,1,9663.0,730,5,9,0,3,0,21,9,10,20
3,3,0,0,4804.0,155,4,24,0,0,2,17,19,15,50
1,2,1,2,14011.0,1595,3,3,0,0,0,16,19,40,15
8,2,1,1,5830.0,270,4,15,0,2,2,8,13,45,15
4,2,1,1,10262.0,1355,6,12,1,0,0,14,12,0,35
1,2,1,2,13381.0,1380,6,12,1,1,0,20,19,15,15
4,2,1,1,12898.0,1235,5,27,0,0,0,16,12,0,35
2,2,1,1,19495.0,310,3,6,0,0,1,14,19,10,20
1,0,5,1,6955.0,920,3,21,0,3,0,22,13,0,20
3,0,2,0,3943.0,170,4,3,0,3,2,4,6,0,50
3,0,2,0,4823.0,175,5,1,0,1,2,18,21,55,50
4,3,0,1,7757.0,800,5,6,0,1,0,18,8,55,15
4,2,1,2,13292.0,910,6,9,1,3,0,21,12,25,35
3,2,1,1,8238.0,345,6,1,1,3,1,21,3,50,35
2,2,1,1,7682.0,355,5,15,0,2,1,7,12,0,55
10,0,2,0,4668.0,170,6,18,1,2,2,9,12,45,35
10,1,4,0,3687.0,135,6,15,1,2,2,7,9,5,20
10,1,4,0,3687.0,135,6,18,1,2,2,7,9,5,20
1,3,0,2,13227.0,805,5,1,0,2,0,9,23,50,15
3,0,2,0,4423.0,170,4,6,0,3,2,4,6,0,50
4,2,1,2,10919.0,1320,6,15,1,0,0,14,12,35,35
4,2,1,1,12373.0,330,5,18,0,2,1,7,12,5,35
3,2,1,1,5894.0,625,6,27,1,2,0,10,21,35,0
8,3,0,1,4649.0,315,5,21,0,0,1,15,20,5,20
1,3,0,0,6245.0,150,5,18,0,0,2,14,16,15,45
4,0,5,1,19225.0,375,3,6,0,2,1,7,13,0,15
4,2,1,1,14924.0,715,6,3,1,2,0,7,19,5,0
6,2,1,1,9646.0,665,5,21,0,2,0,7,18,5,10
1,0,5,1,8714.0,510,3,15,0,2,1,6,15,45,15
4,2,1,1,12373.0,1325,5,18,0,1,0,20,19,55,0
0,0,2,0,3383.0,165,5,6,0,2,2,11,13,10,55
6,2,1,1,13062.0,720,3,21,0,2,0,9,21,0,0
8,0,5,0,3527.0,170,3,24,0,3,2,5,8,45,35
3,0,2,0,3943.0,170,5,27,0,3,2,4,6,0,50
1,1,4,0,4667.0,135,5,3,0,2,2,11,13,40,55
1,3,0,1,6117.0,965,5,15,0,1,0,19,11,0,5
4,2,1,2,11150.0,1195,6,27,1,3,0,23,19,5,0
4,2,1,0,7202.0,195,3,9,0,2,2,11,14,0,15
4,3,0,1,12121.0,1520,5,1,0,2,0,9,10,35,55
3,0,5,0,4377.0,170,3,24,0,3,2,22,1,20,10
3,0,2,0,3943.0,180,6,18,1,3,2,21,0,15,15
0,0,2,0,4483.0,170,4,3,0,3,2,23,2,55,45
4,3,0,1,14231.0,975,3,24,0,1,0,19,12,45,0
1,0,5,2,17345.0,905,3,1,0,2,0,8,23,50,55
10,1,4,0,7414.0,135,3,6,0,2,2,7,9,5,20
6,2,1,1,8073.0,390,5,6,0,1,1,19,1,0,30
10,4,3,1,12395.0,1505,3,6,0,0,0,15,16,40,45
1,3,0,1,8366.0,745,6,6,1,2,0,9,21,25,50
1,2,1,1,5117.0,1640,4,3,0,2,0,6,9,5,25
6,2,1,1,12524.0,615,6,3,1,2,0,8,19,45,0
3,2,1,1,7191.0,630,5,15,0,0,0,15,1,0,30
10,1,4,0,3687.0,135,5,24,0,2,2,7,9,5,20
3,2,1,1,5894.0,625,6,24,1,2,0,10,21,35,0
10,0,2,0,5403.0,170,4,24,0,2,2,9,12,45,35
1,4,3,0,3625.0,90,5,6,0,0,2,13,15,55,25
1,2,1,2,10861.0,800,5,21,0,3,0,5,19,55,15
3,1,4,0,6297.0,135,3,12,0,0,2,13,15,20,35
4,4,3,0,5678.0,85,6,1,1,2,2,7,8,5,30
4,0,5,1,9134.0,1590,3,9,0,3,0,5,8,45,15
6,2,1,1,10791.0,440,6,24,1,2,1,11,19,40,0
4,2,1,2,12819.0,810,6,24,1,3,0,23,12,5,35
3,2,1,1,6893.0,300,3,21,0,3,2,5,10,5,5
10,0,5,0,7240.0,165,3,9,0,2,2,9,12,50,35
2,0,2,0,3898.0,170,4,3,0,2,2,11,14,40,30
3,4,3,0,4049.0,90,4,3,0,2,2,6,7,25,55
4,2,1,1,10262.0,1145,6,15,1,0,0,17,12,30,35
8,1,4,0,3332.0,135,3,21,0,2,2,8,10,20,35
4,3,0,1,10844.0,890,6,9,1,3,0,21,12,10,0
4,0,5,0,7229.0,160,3,24,0,1,2,19,22,55,35
4,3,0,1,13941.0,1330,5,6,0,2,0,6,4,30,40
3,2,1,1,5894.0,575,6,27,1,2,1,11,21,25,0
6,2,1,1,10197.0,600,5,18,0,2,1,9,19,0,0
4,0,5,1,13712.0,1280,3,6,0,0,0,14,11,5,25
3,2,1,1,5636.0,325,6,24,1,3,1,2,7,0,25
4,2,1,2,13014.0,1125,6,6,1,2,0,9,4,40,25
4,3,0,1,7064.0,740,4,1,0,2,0,8,20,25,45
4,3,0,1,10703.0,1080,5,24,0,1,0,20,14,25,25
6,2,1,1,9646.0,555,5,27,0,0,1,13,22,15,30
6,2,1,1,17057.0,665,3,6,0,3,0,2,13,15,20
4,0,5,1,13817.0,1050,3,12,0,0,0,16,10,55,25
1,2,1,2,13748.0,800,3,6,0,3,0,5,19,55,15
1,3,0,0,4880.0,155,4,21,0,1,2,20,23,45,20
